Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cuentas,Chrome 112.0.0.0,,,2023-04-18 09:30:08,2023-04-18 09:31:32,"1m - 23,820s",PASSED
,,,,,,,
Test Cases/03-Cuentas/CTA01-Acceder Home Cuentas POS,Chrome 112.0.0.0,,,2023-04-18 09:30:09,2023-04-18 09:31:09,"1m - 0,520s",PASSED
"vCuenta = findTestData(""05-Labels/Labels"").getValue(2, 2)",Chrome 112.0.0.0,,,2023-04-18 09:30:09,2023-04-18 09:30:10,"0,806s",PASSED
"vFavorita = findTestData(""05-Labels/Labels"").getValue(2, 3)",Chrome 112.0.0.0,,,2023-04-18 09:30:10,2023-04-18 09:30:10,"0,124s",PASSED
"vMoneda = findTestData(""05-Labels/Labels"").getValue(2, 4)",Chrome 112.0.0.0,,,2023-04-18 09:30:10,2023-04-18 09:30:10,"0,120s",PASSED
"vSaldo = findTestData(""05-Labels/Labels"").getValue(2, 5)",Chrome 112.0.0.0,,,2023-04-18 09:30:10,2023-04-18 09:30:10,"0,108s",PASSED
"pkgUtilities.kwyUtility.Server(""Internet"")",Chrome 112.0.0.0,,,2023-04-18 09:30:10,2023-04-18 09:30:13,"2,356s",PASSED
"pkgUtilities.kwyUtility.Login(AdminDNI, AdminClave, AdminUsuario)",Chrome 112.0.0.0,,,2023-04-18 09:30:13,2023-04-18 09:30:23,"10,298s",PASSED
"click(findTestObject(""Object Repository/02-Dashboard/lnkDsbCuentas""))",Chrome 112.0.0.0,,,2023-04-18 09:30:23,2023-04-18 09:30:30,"6,967s",PASSED
"verifyElementText(findTestObject(""Object Repository/03-Cuentas/lblCtasTituloCuentaTabla""), vCuenta)",Chrome 112.0.0.0,,,2023-04-18 09:30:30,2023-04-18 09:30:31,"1,589s",PASSED
"verifyElementText(findTestObject(""Object Repository/03-Cuentas/lblCtasTituloFavoritaTabla""), vFavorita)",Chrome 112.0.0.0,,,2023-04-18 09:30:31,2023-04-18 09:30:32,"0,342s",PASSED
"verifyElementText(findTestObject(""Object Repository/03-Cuentas/lblCtasTituloMonedaTabla""), vMoneda)",Chrome 112.0.0.0,,,2023-04-18 09:30:32,2023-04-18 09:30:32,"0,346s",PASSED
"verifyElementText(findTestObject(""Object Repository/03-Cuentas/lblCtasTituloSaldoTabla""), vSaldo)",Chrome 112.0.0.0,,,2023-04-18 09:30:32,2023-04-18 09:30:32,"0,345s",PASSED
"click(findTestObject(""Object Repository/03-Cuentas/icoCtasAtras""))",Chrome 112.0.0.0,,,2023-04-18 09:30:32,2023-04-18 09:30:34,"1,613s",PASSED
"click(findTestObject(""Object Repository/02-Dashboard/lnkDsbCuentasInicio""))",Chrome 112.0.0.0,,,2023-04-18 09:30:34,2023-04-18 09:30:36,"1,841s",PASSED
"verifyElementText(findTestObject(""Object Repository/03-Cuentas/lblCtasTituloCuentaTabla""), vCuenta)",Chrome 112.0.0.0,,,2023-04-18 09:30:36,2023-04-18 09:30:37,"0,714s",PASSED
"verifyElementText(findTestObject(""Object Repository/03-Cuentas/lblCtasTituloFavoritaTabla""), vFavorita)",Chrome 112.0.0.0,,,2023-04-18 09:30:37,2023-04-18 09:30:37,"0,328s",PASSED
"verifyElementText(findTestObject(""Object Repository/03-Cuentas/lblCtasTituloMonedaTabla""), vMoneda)",Chrome 112.0.0.0,,,2023-04-18 09:30:37,2023-04-18 09:30:37,"0,333s",PASSED
"verifyElementText(findTestObject(""Object Repository/03-Cuentas/lblCtasTituloSaldoTabla""), vSaldo)",Chrome 112.0.0.0,,,2023-04-18 09:30:37,2023-04-18 09:30:38,"0,324s",PASSED
Start tear down : fPassScript,Chrome 112.0.0.0,,,2023-04-18 09:30:38,2023-04-18 09:31:09,"31,480s",PASSED
,,,,,,,
Test Cases/03-Cuentas/CTA02-Copiar CBU POS,Chrome 112.0.0.0,,,2023-04-18 09:31:09,2023-04-18 09:31:32,"23,005s",PASSED
"vCbuToast = findTestData(""06-Toast/Toast"").getValue(2, 5)",Chrome 112.0.0.0,,,2023-04-18 09:31:09,2023-04-18 09:31:09,"0,086s",PASSED
"pkgUtilities.kwyUtility.Server(""Internet"")",Chrome 112.0.0.0,,,2023-04-18 09:31:09,2023-04-18 09:31:11,"1,535s",PASSED
"pkgUtilities.kwyUtility.Login(AdminDNI, AdminClave, AdminUsuario)",Chrome 112.0.0.0,,,2023-04-18 09:31:11,2023-04-18 09:31:21,"9,655s",PASSED
"click(findTestObject(""Object Repository/03-Cuentas/lnkCtasMenuInicio""))",Chrome 112.0.0.0,,,2023-04-18 09:31:21,2023-04-18 09:31:29,"8,243s",PASSED
"click(findTestObject(""Object Repository/03-Cuentas/lnkCopiarCBU""))",Chrome 112.0.0.0,,,2023-04-18 09:31:29,2023-04-18 09:31:29,"0,578s",PASSED
"verifyElementText(findTestObject(""Object Repository/03-Cuentas/lblCtasToastCopiaCBU""), vCbuToast)",Chrome 112.0.0.0,,,2023-04-18 09:31:29,2023-04-18 09:31:30,"0,456s",PASSED
Start tear down : fPassScript,Chrome 112.0.0.0,,,2023-04-18 09:31:30,2023-04-18 09:31:32,"2,106s",PASSED
