Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Accesibilidad,Chrome 111.0.0.0,,,2023-04-11 14:31:32,2023-04-11 14:31:58,"25,686s",PASSED
,,,,,,,
Test Cases/01-Login/LGN01-Login happy case,Chrome 111.0.0.0,,Login,2023-04-11 14:31:32,2023-04-11 14:31:58,"25,324s",PASSED
"pkgUtilities.kwyUtility.Server(""Internet"")",Chrome 111.0.0.0,,,2023-04-11 14:31:33,2023-04-11 14:31:37,"3,969s",PASSED
"vDNI = findTestData(""02-Usuarios/SetUsers-FF"").getValue(3, 1)",Chrome 111.0.0.0,,,2023-04-11 14:31:37,2023-04-11 14:31:37,"0,116s",PASSED
"vClave = findTestData(""02-Usuarios/SetUsers-FF"").getValue(5, 1)",Chrome 111.0.0.0,,,2023-04-11 14:31:37,2023-04-11 14:31:37,"0,095s",PASSED
"vUsuario = findTestData(""02-Usuarios/SetUsers-FF"").getValue(4, 1)",Chrome 111.0.0.0,,,2023-04-11 14:31:37,2023-04-11 14:31:37,"0,099s",PASSED
openBrowser(ServerUsado),Chrome 111.0.0.0,,,2023-04-11 14:31:37,2023-04-11 14:31:45,"7,863s",PASSED
maximizeWindow(),Chrome 111.0.0.0,,,2023-04-11 14:31:45,2023-04-11 14:31:45,"0,239s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/01-Login/btnLgnCerrarBanner""))",Chrome 111.0.0.0,,,2023-04-11 14:31:45,2023-04-11 14:31:46,"0,645s",PASSED
"click(findTestObject(""Object Repository/01-Login/btnLgnCerrarBanner""))",Chrome 111.0.0.0,,,2023-04-11 14:31:46,2023-04-11 14:31:46,"0,480s",PASSED
"setText(findTestObject(""Object Repository/01-Login/txtLgnDNI""), vDNI)",Chrome 111.0.0.0,,,2023-04-11 14:31:46,2023-04-11 14:31:47,"0,962s",PASSED
"setText(findTestObject(""Object Repository/01-Login/txtLgnClave""), vClave)",Chrome 111.0.0.0,,,2023-04-11 14:31:47,2023-04-11 14:31:48,"0,993s",PASSED
"setText(findTestObject(""Object Repository/01-Login/txtLgnUsuario""), vUsuario)",Chrome 111.0.0.0,,,2023-04-11 14:31:48,2023-04-11 14:31:49,"0,977s",PASSED
"click(findTestObject(""Object Repository/01-Login/btnLgnIngresar""))",Chrome 111.0.0.0,,,2023-04-11 14:31:49,2023-04-11 14:31:50,"0,515s",PASSED
"click(findTestObject(""Object Repository/02-Dashboard/icoDsbSalir""))",Chrome 111.0.0.0,,,2023-04-11 14:31:50,2023-04-11 14:31:56,"6,594s",PASSED
Start tear down : fPassScript,Chrome 111.0.0.0,,,2023-04-11 14:31:56,2023-04-11 14:31:58,"1,159s",PASSED
