Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Accesibilidad,Chrome 112.0.0.0,,,2023-04-20 12:46:10,2023-04-20 12:46:33,"22,792s",PASSED
,,,,,,,
Test Cases/01-Login/LGN01-Login happy case,Chrome 112.0.0.0,,Login,2023-04-20 12:46:10,2023-04-20 12:46:33,"22,502s",PASSED
"pkgUtilities.kwyUtility.Server(""Internet"")",Chrome 112.0.0.0,,,2023-04-20 12:46:11,2023-04-20 12:46:14,"3,190s",PASSED
"vDNI = findTestData(""02-Usuarios/SetUsers-FF"").getValue(3, 1)",Chrome 112.0.0.0,,,2023-04-20 12:46:14,2023-04-20 12:46:14,"0,081s",PASSED
"vClave = findTestData(""02-Usuarios/SetUsers-FF"").getValue(5, 1)",Chrome 112.0.0.0,,,2023-04-20 12:46:14,2023-04-20 12:46:14,"0,086s",PASSED
"vUsuario = findTestData(""02-Usuarios/SetUsers-FF"").getValue(4, 1)",Chrome 112.0.0.0,,,2023-04-20 12:46:14,2023-04-20 12:46:14,"0,107s",PASSED
openBrowser(ServerUsado),Chrome 112.0.0.0,,,2023-04-20 12:46:14,2023-04-20 12:46:22,"7,477s",PASSED
maximizeWindow(),Chrome 112.0.0.0,,,2023-04-20 12:46:22,2023-04-20 12:46:22,"0,176s",PASSED
"click(findTestObject(""Object Repository/01-Login/btnLgnCerrarBanner""))",Chrome 112.0.0.0,,,2023-04-20 12:46:22,2023-04-20 12:46:22,"0,710s",PASSED
"setText(findTestObject(""Object Repository/01-Login/txtLgnDNI""), vDNI)",Chrome 112.0.0.0,,,2023-04-20 12:46:22,2023-04-20 12:46:23,"0,876s",PASSED
"setText(findTestObject(""Object Repository/01-Login/txtLgnClave""), vClave)",Chrome 112.0.0.0,,,2023-04-20 12:46:23,2023-04-20 12:46:24,"0,796s",PASSED
"setText(findTestObject(""Object Repository/01-Login/txtLgnUsuario""), vUsuario)",Chrome 112.0.0.0,,,2023-04-20 12:46:24,2023-04-20 12:46:25,"0,869s",PASSED
"click(findTestObject(""Object Repository/01-Login/btnLgnIngresar""))",Chrome 112.0.0.0,,,2023-04-20 12:46:25,2023-04-20 12:46:25,"0,431s",PASSED
"click(findTestObject(""Object Repository/02-Dashboard/icoDsbSalir""))",Chrome 112.0.0.0,,,2023-04-20 12:46:25,2023-04-20 12:46:32,"6,186s",PASSED
Start tear down : fPassScript,Chrome 112.0.0.0,,,2023-04-20 12:46:32,2023-04-20 12:46:33,"0,979s",PASSED
