Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cuentas,Chrome 111.0.0.0,,,2023-04-11 14:17:32,2023-04-11 14:18:55,"1m - 22,909s",FAILED
,,,,,,,
Test Cases/03-Cuentas/CTA01-Acceder Home Cuentas POS,Chrome 111.0.0.0,,,2023-04-11 14:17:33,2023-04-11 14:18:33,"1m - 0,545s",FAILED
vCuentasTitulo = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 111.0.0.0,,,2023-04-11 14:17:33,2023-04-11 14:17:33,"0,002s",PASSED
vCuenta = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 111.0.0.0,,,2023-04-11 14:17:33,2023-04-11 14:17:33,"0,001s",PASSED
vFavorita = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 111.0.0.0,,,2023-04-11 14:17:33,2023-04-11 14:17:33,"0,001s",PASSED
vMoneda = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 111.0.0.0,,,2023-04-11 14:17:33,2023-04-11 14:17:33,"0,001s",PASSED
vSaldo = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 111.0.0.0,,,2023-04-11 14:17:33,2023-04-11 14:17:33,"0,001s",PASSED
"pkgUtilities.kwyUtility.Server(""Internet"")",Chrome 111.0.0.0,,,2023-04-11 14:17:33,2023-04-11 14:17:37,"3,938s",PASSED
"pkgUtilities.kwyUtility.Login(AdminDNI, AdminClave, AdminUsuario)",Chrome 111.0.0.0,,,2023-04-11 14:17:37,2023-04-11 14:17:48,"11,212s",PASSED
"click(findTestObject(""Object Repository/02-Dashboard/lnkDsbCuentas""))",Chrome 111.0.0.0,,,2023-04-11 14:17:48,2023-04-11 14:17:54,"5,910s",PASSED
"vCuenta = findTestData(""05-Labels/Labels"").getValue(2, 2)",Chrome 111.0.0.0,,,2023-04-11 14:17:54,2023-04-11 14:17:54,"0,107s",PASSED
"verifyElementText(findTestObject(""Object Repository/03-Cuentas/lblCtasTituloCuentaTabla""), vCuenta)",Chrome 111.0.0.0,,,2023-04-11 14:17:54,2023-04-11 14:17:56,"1,744s",PASSED
"vFavorita = findTestData(""05-Labels/Labels"").getValue(2, 3)",Chrome 111.0.0.0,,,2023-04-11 14:17:56,2023-04-11 14:17:56,"0,089s",PASSED
"verifyElementText(findTestObject(""Object Repository/03-Cuentas/lblCtasTituloFavoritaTabla""), vFavorita)",Chrome 111.0.0.0,,,2023-04-11 14:17:56,2023-04-11 14:17:57,"0,366s",PASSED
"vMoneda = findTestData(""05-Labels/Labels"").getValue(2, 4)",Chrome 111.0.0.0,,,2023-04-11 14:17:57,2023-04-11 14:17:57,"0,110s",PASSED
"verifyElementText(findTestObject(""Object Repository/03-Cuentas/lblCtasTituloMonedaTabla""), vMoneda)",Chrome 111.0.0.0,,,2023-04-11 14:17:57,2023-04-11 14:17:57,"0,351s",PASSED
"vSaldo = findTestData(""05-Labels/Labels"").getValue(2, 5)",Chrome 111.0.0.0,,,2023-04-11 14:17:57,2023-04-11 14:17:57,"0,081s",PASSED
"verifyElementText(findTestObject(""Object Repository/03-Cuentas/lblCtasTituloSaldoTabla""), vSaldo)",Chrome 111.0.0.0,,,2023-04-11 14:17:57,2023-04-11 14:17:58,"0,363s",PASSED
"click(findTestObject(""Object Repository/02-Dashboard/lnkDsbInicio""))",Chrome 111.0.0.0,,,2023-04-11 14:17:58,2023-04-11 14:18:29,"31,319s",FAILED
Start tear down : fTakeFailScreenshot,Chrome 111.0.0.0,,,2023-04-11 14:18:29,2023-04-11 14:18:33,"4,334s",PASSED
,,,,,,,
Test Cases/03-Cuentas/CTA02-Copiar CBU POS,Chrome 111.0.0.0,,,2023-04-11 14:18:33,2023-04-11 14:18:55,"22,008s",PASSED
"pkgUtilities.kwyUtility.Server(""Internet"")",Chrome 111.0.0.0,,,2023-04-11 14:18:34,2023-04-11 14:18:35,"1,832s",PASSED
"pkgUtilities.kwyUtility.Login(AdminDNI, AdminClave, AdminUsuario)",Chrome 111.0.0.0,,,2023-04-11 14:18:35,2023-04-11 14:18:45,"9,420s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/03-Cuentas/lnkCtasMenuInicio""))",Chrome 111.0.0.0,,,2023-04-11 14:18:45,2023-04-11 14:18:51,"6,301s",PASSED
"click(findTestObject(""Object Repository/03-Cuentas/lnkCtasMenuInicio""))",Chrome 111.0.0.0,,,2023-04-11 14:18:51,2023-04-11 14:18:52,"0,562s",PASSED
"click(findTestObject(""Object Repository/03-Cuentas/lnkCopiarCBU""))",Chrome 111.0.0.0,,,2023-04-11 14:18:52,2023-04-11 14:18:52,"0,496s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/03-Cuentas/lblCtasToastCopiaCBU""))",Chrome 111.0.0.0,,,2023-04-11 14:18:52,2023-04-11 14:18:53,"0,495s",PASSED
Start tear down : fPassScript,Chrome 111.0.0.0,,,2023-04-11 14:18:53,2023-04-11 14:18:55,"2,464s",PASSED
