Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cuentas,Chrome 114.0.0.0,,,2023-06-29 15:19:36,2023-06-29 15:24:12,"4m - 35,508s",FAILED
,,,,,,,
Test Cases/03-Cuentas/CTA01-Acceder Home Cuentas POS,Chrome 114.0.0.0,,,2023-06-29 15:19:36,2023-06-29 15:20:37,"1m - 0,624s",PASSED
"vQuery = ""SELECT * FROM UsuariosRMobile WHERE NroDNI = 20144835""",Chrome 114.0.0.0,,,2023-06-29 15:19:37,2023-06-29 15:19:37,"0,001s",PASSED
"vQuery2 = ""SELECT * FROM Labels WHERE Id = 2""",Chrome 114.0.0.0,,,2023-06-29 15:19:37,2023-06-29 15:19:37,"0,000s",PASSED
"vQuery3 = ""SELECT * FROM Labels WHERE Id = 3""",Chrome 114.0.0.0,,,2023-06-29 15:19:37,2023-06-29 15:19:37,"0,001s",PASSED
"vQuery4 = ""SELECT * FROM Labels WHERE Id = 4""",Chrome 114.0.0.0,,,2023-06-29 15:19:37,2023-06-29 15:19:37,"0,001s",PASSED
"vQuery5 = ""SELECT * FROM Labels WHERE Id = 5""",Chrome 114.0.0.0,,,2023-06-29 15:19:37,2023-06-29 15:19:37,"0,001s",PASSED
vDNI = null,Chrome 114.0.0.0,,,2023-06-29 15:19:37,2023-06-29 15:19:37,"0,001s",PASSED
vClave = null,Chrome 114.0.0.0,,,2023-06-29 15:19:37,2023-06-29 15:19:37,"0,001s",PASSED
vUsuario = null,Chrome 114.0.0.0,,,2023-06-29 15:19:37,2023-06-29 15:19:37,"0,001s",PASSED
vCuenta = null,Chrome 114.0.0.0,,,2023-06-29 15:19:37,2023-06-29 15:19:37,"0,001s",PASSED
vFavorita = null,Chrome 114.0.0.0,,,2023-06-29 15:19:37,2023-06-29 15:19:37,"0,000s",PASSED
vMoneda = null,Chrome 114.0.0.0,,,2023-06-29 15:19:37,2023-06-29 15:19:37,"0,000s",PASSED
vSaldo = null,Chrome 114.0.0.0,,,2023-06-29 15:19:37,2023-06-29 15:19:37,"0,000s",PASSED
pkgDatabase.kwySQL.connectDB(),Chrome 114.0.0.0,,,2023-06-29 15:19:37,2023-06-29 15:19:40,"2,863s",PASSED
vResult = pkgDatabase.kwySQL.executeQuery(vQuery),Chrome 114.0.0.0,,,2023-06-29 15:19:40,2023-06-29 15:19:40,"0,270s",PASSED
vResult2 = pkgDatabase.kwySQL.executeQuery(vQuery2),Chrome 114.0.0.0,,,2023-06-29 15:19:40,2023-06-29 15:19:40,"0,175s",PASSED
vResult3 = pkgDatabase.kwySQL.executeQuery(vQuery3),Chrome 114.0.0.0,,,2023-06-29 15:19:40,2023-06-29 15:19:41,"0,180s",PASSED
vResult4 = pkgDatabase.kwySQL.executeQuery(vQuery4),Chrome 114.0.0.0,,,2023-06-29 15:19:41,2023-06-29 15:19:41,"0,180s",PASSED
vResult5 = pkgDatabase.kwySQL.executeQuery(vQuery5),Chrome 114.0.0.0,,,2023-06-29 15:19:41,2023-06-29 15:19:41,"0,165s",PASSED
vDNI = vResult.getString(2),Chrome 114.0.0.0,,,2023-06-29 15:19:41,2023-06-29 15:19:41,"0,001s",PASSED
vUsuario = vResult.getString(3),Chrome 114.0.0.0,,,2023-06-29 15:19:41,2023-06-29 15:19:41,"0,001s",PASSED
vClave = vResult.getString(4),Chrome 114.0.0.0,,,2023-06-29 15:19:41,2023-06-29 15:19:41,"0,001s",PASSED
vCuenta = vResult2.getString(3),Chrome 114.0.0.0,,,2023-06-29 15:19:41,2023-06-29 15:19:41,"0,001s",PASSED
vFavorita = vResult3.getString(3),Chrome 114.0.0.0,,,2023-06-29 15:19:41,2023-06-29 15:19:41,"0,001s",PASSED
vMoneda = vResult4.getString(3),Chrome 114.0.0.0,,,2023-06-29 15:19:41,2023-06-29 15:19:41,"0,001s",PASSED
vSaldo = vResult5.getString(3),Chrome 114.0.0.0,,,2023-06-29 15:19:41,2023-06-29 15:19:41,"0,001s",PASSED
pkgDatabase.kwySQL.closeDatabaseConnection(),Chrome 114.0.0.0,,,2023-06-29 15:19:41,2023-06-29 15:19:41,"0,004s",PASSED
"pkgUtilities.kwyUtility.Server(""Internet"")",Chrome 114.0.0.0,,,2023-06-29 15:19:41,2023-06-29 15:19:41,"0,516s",PASSED
